# utcTimestamp,ObsNumber
# TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1766671527.236,40
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,41,0.0,16399,396330506826378,16,33.7,359.47760009765625,1.2012742757797241,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,29.400000000000002,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,40,0.0,16399,396330467772536,6,42.7,-33.714630126953125,0.6129592657089233,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,38.400000000000006,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,38,0.0,16399,396330467881318,5,44.6,-52.049583435058594,0.6121526956558228,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,40.300000000000004,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,32,0.0,16399,396330512848713,4,47.1,-249.62252807617188,0.6039421558380127,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,42.800000000000004,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,27,0.0,16399,396330511401760,5,44.4,214.14407348632812,0.6061527132987976,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,40.1,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,13,0.0,16399,396330463015281,9,39.5,-135.79815673828125,1.772713303565979,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,35.2,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,10,0.0,16399,396330467419732,13,36.2,-73.40375518798828,1.1937059164047241,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,31.900000000000002,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,8,0.0,16399,396330465144572,11,38.0,-115.07401275634766,0.042759791016578674,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,33.7,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,7,0.0,16399,396330468997753,7,41.6,-9.347747802734375,0.6118625402450562,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,37.300000000000004,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,4,0.0,16399,396330458235787,12,37.1,-13.474453926086426,118.05148315429688,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,32.800000000000004,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,2,0.0,16399,396330462485789,11,37.3,-12.674606323242188,1.1521999835968018,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,33.0,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,1,0.0,16399,396330462049170,5,44.3,-6.183671951293945,0.944100022315979,16,0.0,0.0,1.56109798E9,0.0,0.0,0.0,0,0.0,5,-59.57,40.0,-490.0,10000.0,0.0,0.0,I,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,3,0.0,23567,396344499999608,17,32.6,-249.29136657714844,0.8308912515640259,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,6,-58.58,28.3,-7.0,10000.0,0.0,0.0,C,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,13,0.0,23567,396344505192625,17,32.8,-132.7591552734375,1.5983754396438599,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,6,-58.58,28.499999999999996,-7.0,10000.0,0.0,0.0,C,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,15,0.0,23567,396344506375680,27,29.2,178.33370971679688,0.5885000228881836,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,6,-58.58,24.9,-7.0,10000.0,0.0,0.0,C,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,18,0.0,7203,3929099,5,44.3,851.6756591796875,0.05700664222240448,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,6,-58.58,40.0,-7.0,10000.0,0.0,0.0,C,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,21,0.0,23567,396344501954047,27,28.9,-223.3857421875,0.9270000457763672,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,6,-58.58,24.599999999999998,-7.0,10000.0,0.0,0.0,C,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,27,0.0,23567,396344506315978,11,37.8,287.143798828125,0.06519833952188492,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,6,-58.58,33.5,-7.0,10000.0,0.0,0.0,C,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,34,0.0,23567,396344495479025,27,29.2,334.6687316894531,0.10369142889976501,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,6,-58.58,24.9,-7.0,10000.0,0.0,0.0,C,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,20,0.0,16399,396330503340994,12,25.2,-650.0526733398438,1.1089999675750732,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,5,-58.58,18.2,-480.1813659667969,10142.931640625,0.0,0.0,P,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,27,0.0,16399,396330511401753,2,43.6,214.0518341064453,0.3620000183582306,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,5,-58.58,36.6,-480.1813659667969,10142.931640625,0.0,0.0,P,966987116400
