$GNGGA,140558.00,3031.769218,N,11421.016390,E,1,12,0.6,61.0,M,-13.9,M,,*63
$GNGGA,140559.00,3031.769280,N,11421.016455,E,1,12,0.6,61.0,M,-13.9,M,,*6D
$GNGGA,140600.00,3031.769223,N,11421.016730,E,1,12,0.6,61.2,M,-13.9,M,,*69
$GNGGA,140601.00,3031.769483,N,11421.016670,E,1,12,0.7,61.8,M,-13.9,M,,*6A
$GNGGA,140602.00,3031.769521,N,11421.016736,E,1,12,0.8,62.3,M,-13.9,M,,*64
$GNGGA,140603.00,3031.769792,N,11421.016985,E,1,12,0.7,62.3,M,-13.9,M,,*66
$GNGGA,140604.00,3031.769806,N,11421.017212,E,1,12,0.6,62.5,M,-13.9,M,,*60
$GNGGA,140605.00,3031.770084,N,11421.017176,E,1,12,0.6,62.0,M,-13.9,M,,*6F
$GNGGA,140606.00,3031.770079,N,11421.017269,E,1,12,0.6,62.1,M,-13.9,M,,*62
$GNGGA,140607.00,3031.769946,N,11421.017248,E,1,12,0.6,62.2,M,-13.9,M,,*6E
$GNGGA,140608.00,3031.769787,N,11421.017230,E,1,12,0.6,62.2,M,-13.9,M,,*6D
$GNGGA,140609.00,3031.769743,N,11421.017232,E,1,12,0.6,62.2,M,-13.9,M,,*66
$GNGGA,140610.00,3031.769736,N,11421.017194,E,1,12,0.6,62.1,M,-13.9,M,,*60
$GNGGA,140611.00,3031.769813,N,11421.017039,E,1,12,0.6,62.1,M,-13.9,M,,*6F
$GNGGA,140612.00,3031.769698,N,11421.017083,E,1,12,0.6,62.7,M,-13.9,M,,*66
$GNGGA,140613.00,3031.769557,N,11421.017036,E,1,12,0.6,63.1,M,-13.9,M,,*6E
$GNGGA,140614.00,3031.769438,N,11421.016942,E,1,12,0.6,63.6,M,-13.9,M,,*6D
$GNGGA,140615.00,3031.769189,N,11421.016844,E,1,12,0.6,64.0,M,-13.9,M,,*65
$GNGGA,140616.00,3031.769041,N,11421.016768,E,1,12,0.6,64.2,M,-13.9,M,,*60
$GNGGA,140617.00,3031.768891,N,11421.016637,E,1,12,0.6,64.1,M,-13.9,M,,*6D
$GNGGA,140618.00,3031.768842,N,11421.016620,E,1,12,0.6,63.9,M,-13.9,M,,*65
$GNGGA,140619.00,3031.768814,N,11421.016609,E,1,12,0.6,63.8,M,-13.9,M,,*6D
$GNGGA,140620.00,3031.768779,N,11421.016625,E,1,12,0.7,63.7,M,-13.9,M,,*63
$GNGGA,140621.00,3031.768738,N,11421.016618,E,1,12,0.7,63.6,M,-13.9,M,,*68
$GNGGA,140622.00,3031.768647,N,11421.016823,E,1,12,0.7,63.7,M,-13.9,M,,*65
$GNGGA,140623.00,3031.768613,N,11421.016912,E,1,12,0.6,63.4,M,-13.9,M,,*64
$GNGGA,140624.00,3031.768471,N,11421.016572,E,1,12,0.7,63.9,M,-13.9,M,,*63
$GNGGA,140625.00,3031.768585,N,11421.016190,E,1,12,0.6,63.9,M,-13.9,M,,*61
$GNGGA,140626.00,3031.768726,N,11421.015819,E,1,12,0.6,63.8,M,-13.9,M,,*63
$GNGGA,140627.00,3031.769083,N,11421.015365,E,1,12,0.6,63.1,M,-13.9,M,,*62
$GNGGA,140628.00,3031.769221,N,11421.015127,E,1,12,0.6,63.2,M,-13.9,M,,*60
$GNGGA,140629.00,3031.769335,N,11421.014903,E,1,12,0.6,63.3,M,-13.9,M,,*6B
$GNGGA,140630.00,3031.769425,N,11421.014735,E,1,12,0.6,63.3,M,-13.9,M,,*6E
$GNGGA,140631.00,3031.769420,N,11421.014643,E,1,12,0.6,63.3,M,-13.9,M,,*6A
$GNGGA,140632.00,3031.769437,N,11421.014566,E,1,12,0.6,63.3,M,-13.9,M,,*6B
$GNGGA,140633.00,3031.769447,N,11421.014476,E,1,12,0.6,63.3,M,-13.9,M,,*6D
$GNGGA,140634.00,3031.769488,N,11421.014438,E,1,12,0.6,63.1,M,-13.9,M,,*61
