1766671527.976635,30.5294772500,114.3502252400,36.603,7.944,396345.999842
1766671528.973975,30.5294933400,114.3502379200,40.408,7.033,396346.999839
1766671529.972747,30.5295017800,114.3502406100,41.341,5.837,396347.999846
1766671530.979074,30.5295061500,114.3502439800,42.356,5.074,396349.006172
1766671531.978268,30.5295137100,114.3502416600,43.516,4.680,396349.999844
1766671532.978215,30.5295162700,114.3502399200,44.282,4.485,396350.999791
1766671533.976321,30.5295158100,114.3502396200,44.456,4.396,396351.999835
1766671534.982701,30.5295154600,114.3502390200,44.553,4.109,396352.999836
1766671535.973442,30.5295149800,114.3502382900,45.111,3.899,396353.999841
1766671536.984934,30.5295166500,114.3502382000,45.572,3.790,396354.999841
1766671537.971602,30.5295133300,114.3502401900,45.986,3.893,396355.999835
1766671538.975848,30.5295111900,114.3502415800,45.967,3.951,396356.999830
1766671539.974044,30.5295074400,114.3502422700,45.553,3.971,396357.998026
1766671540.976096,30.5295045200,114.3502429700,45.198,4.064,396359.001895
1766671541.977468,30.5295013100,114.3502451100,45.068,3.967,396359.999849
1766671542.969418,30.5294983600,114.3502468000,44.759,3.836,396360.999832
1766671543.973391,30.5294985000,114.3502465700,44.629,3.817,396362.003805
1766671544.984992,30.5294975600,114.3502472000,44.687,3.790,396362.999838
1766671545.980405,30.5294964300,114.3502488000,45.333,3.790,396363.999842
1766671546.981844,30.5294949800,114.3502458700,45.396,4.363,396364.999840
1766671547.984446,30.5294911200,114.3502514200,45.758,4.038,396365.999847
1766671548.977570,30.5294899500,114.3502542200,45.915,3.996,396366.999833
1766671549.972626,30.5294901400,114.3502571800,46.102,4.002,396367.999848
1766671550.972552,30.5294872100,114.3502606500,46.423,3.994,396368.999843
1766671551.980376,30.5294819200,114.3502631100,46.344,4.082,396369.999845
1766671552.978134,30.5294801900,114.3502655700,46.249,4.121,396370.999840
1766671553.980595,30.5294793900,114.3502683700,46.230,4.093,396371.999838
1766671554.973415,30.5294810700,114.3502693500,46.291,4.235,396372.999846
1766671555.974812,30.5294834700,114.3502714000,46.283,4.325,396374.001243
1766671556.985289,30.5294865600,114.3502715500,46.615,4.242,396374.999837
1766671557.970748,30.5294869600,114.3502731600,47.022,4.253,396375.999840
1766671558.968817,30.5294880000,114.3502742500,47.083,4.194,396376.999845
1766671559.984652,30.5294870500,114.3502788400,47.295,4.175,396377.999838
1766671560.971394,30.5294913900,114.3502778300,47.882,4.311,396378.999840
1766671561.964241,30.5294920100,114.3502789300,48.344,4.418,396379.999836
1766671562.977496,30.5294965400,114.3502830900,48.396,4.337,396380.999842
1766671563.978149,30.5294967600,114.3502868600,48.564,4.280,396381.999838
1766671564.972915,30.5295014000,114.3502862600,48.095,4.189,396382.994604
1766671565.967416,30.5295013200,114.3502878100,48.128,4.128,396383.999845
1766671566.964518,30.5294991000,114.3502874700,48.260,4.068,396384.996947
1766671567.977450,30.5294964500,114.3502871600,48.226,4.017,396385.999839
1766671568.967854,30.5294957100,114.3502872000,48.227,4.016,396386.999843
1766671569.981861,30.5294956000,114.3502865700,48.153,4.056,396387.999840
1766671570.977770,30.5294968800,114.3502839900,48.119,3.966,396388.999835
1766671571.979465,30.5294949700,114.3502847100,48.795,3.918,396389.999842
1766671572.975176,30.5294926100,114.3502839400,49.170,3.790,396390.999845
1766671573.982737,30.5294906300,114.3502823700,49.652,3.790,396391.999841
1766671574.974276,30.5294864900,114.3502807400,50.010,3.790,396392.999845
1766671575.980455,30.5294840100,114.3502794700,50.205,3.790,396393.999845
1766671576.962983,30.5294815200,114.3502772900,50.129,3.790,396394.982372
1766671577.968359,30.5294807000,114.3502770000,49.952,3.790,396395.999833
1766671578.979345,30.5294802400,114.3502768200,49.834,3.790,396396.999844
1766671579.966647,30.5294796500,114.3502770800,49.738,3.790,396397.999845
1766671580.978603,30.5294789600,114.3502769700,49.689,3.790,396398.999836
1766671581.970626,30.5294774500,114.3502803900,49.721,3.790,396399.999842
1766671582.981631,30.5294768900,114.3502818700,49.407,3.790,396400.999834
1766671583.981273,30.5294745100,114.3502762000,49.935,3.790,396401.999841
1766671584.976682,30.5294764100,114.3502698400,49.911,3.790,396402.999837
1766671585.978593,30.5294787600,114.3502636500,49.830,3.790,396403.999840
1766671586.976999,30.5294847200,114.3502560800,49.171,3.790,396404.999840
1766671587.984181,30.5294870200,114.3502521200,49.294,3.790,396405.999841
1766671588.968978,30.5294889100,114.3502483900,49.315,3.790,396406.999849
1766671589.975517,30.5294904200,114.3502455800,49.329,3.790,396407.999848
1766671590.974674,30.5294903300,114.3502440500,49.396,3.790,396408.999839
1766671591.969399,30.5294906100,114.3502427600,49.354,3.790,396409.999841
1766671592.978992,30.5294907900,114.3502412600,49.315,3.790,396410.999834
1766671593.971263,30.5294914700,114.3502406300,49.151,3.790,396411.999838
